Speaker,Speech,POLARITY,TEMPER#grief,INTROSPECTION#loathing,TEMPER#serenity,INTROSPECTION,INTROSPECTION#ecstasy,ATTITUDE#pleasantness,TEMPER#sadness,INTROSPECTION#joy,TEMPER,INTROSPECTION#acceptance,TEMPER#bliss,ATTITUDE#acceptance,ATTITUDE#sadness,INTROSPECTION#anger,INTROSPECTION#dislike,ATTITUDE,INTROSPECTION#fear,TEMPER#calmness,INTROSPECTION#anxiety,SENSITIVITY,SENSITIVITY#eagerness,INTROSPECTION#terror,SENSITIVITY#loathing,ATTITUDE#serenity,INTROSPECTION#disgust,SENSITIVITY#enthusiasm,ATTITUDE#delight,TEMPER#fear,INTROSPECTION#rage,ATTITUDE#rage,INTROSPECTION#annoyance,TEMPER#disgust,INTROSPECTION#contentment,TEMPER#terror,ATTITUDE#loathing,SENSITIVITY#responsiveness,TEMPER#contentment,SENSITIVITY#disgust,TEMPER#joy,SENSITIVITY#dislike,TEMPER#dislike,ATTITUDE#annoyance,INTROSPECTION#sadness,TEMPER#loathing,TEMPER#anxiety,ATTITUDE#fear,ATTITUDE#terror,ATTITUDE#joy,ATTITUDE#anger,TEMPER#anger,SENSITIVITY#anger,SENSITIVITY#sadness,INTROSPECTION#responsiveness,SENSITIVITY#anxiety,SENSITIVITY#annoyance,SENSITIVITY#acceptance,ATTITUDE#responsiveness
BERNARDO,Who's there?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO,"Nay, answer me: stand, and unfold yourself.",0.2685,0.0,-0.993,0.318,0.0,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERNARDO,Long live the king!,0.8314999999999999,0.0,0.0,0.0,0.0,0.8995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO,Bernardo?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERNARDO,He.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO,You come most carefully upon your hour.,0.659,0.0,0.0,0.0,0.0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERNARDO,"'Tis now struck twelve; get thee to bed, Francisco.",0.03299999999999998,0.0,0.0,0.201,-0.561,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO,"For this relief much thanks: 'tis bitter cold, And I am sick at heart.",0.11483333333333334,0.0,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.0,0.999,0.329,0.0,-0.659,0.0,-0.328,-0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERNARDO,Have you had quiet guard?,0.46799999999999997,0.0,0.0,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO,Not a mouse stirring.,-0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
